;Cases;S;U;Q;I;date
0;1.0;1424000.0;6.0;1.0;8.0;2020-03-20
1;1.1596845303595997;1423995.1504126606;9.40986364645996;2.280039162604525;12.849587339424085;2020-03-21
2;1.47784932565766;1423987.5447968207;14.757548564510977;4.219805289323313;20.455203179491946;2020-03-22
3;2.0381141633008912;1423975.6169694362;23.144256390481445;7.200660010042694;32.38303056382503;2020-03-23
4;2.972231867678188;1423956.9108280146;36.29688050841332;11.820059609204312;51.08917198529582;2020-03-24
5;4.4873804115065985;1423927.5748446116;56.92339058345571;19.014384393276607;80.42515538823892;2020-03-25
6;6.908964874306525;1423881.5696356355;89.26988781903975;30.25151167110494;126.43036436445121;2020-03-26
7;10.747733841102349;1423809.4260787189;139.9935022310903;47.83268520907583;198.5739212812685;2020-03-27
8;16.80500527849572;1423696.299854312;219.52954911851953;75.36559129091326;311.7001456879285;2020-03-28
9;26.337603586149044;1423518.9257774944;344.2311827451833;118.5054361744041;489.07422250573643;2020-03-29
10;41.316304172563626;1423240.8545615473;539.7140413452163;186.11509293533703;767.1454384531169;2020-03-30
11;64.83058772947533;1422805.0152988588;846.0746811333344;292.0794322785558;1202.9847011413656;2020-03-31
12;101.72202091441778;1422122.131380865;1326.008458357055;458.138139863781;1885.8686191352538;2020-04-01
13;159.57415149539128;1421052.7496071884;2077.378722686682;718.2975186298723;2955.2503928119454;2020-04-02
14;250.25652547670552;1419379.5362417544;3252.5333672263614;1125.6738655426327;4628.4637582457;2020-04-03
15;392.32551731711203;1416764.995912225;5087.63722370286;1763.041346755238;7243.00408777521;2020-04-04
16;614.7391641005788;1412687.9819060005;7946.352933629918;2758.925996269819;11320.018094000316;2020-04-05
17;962.5608673219515;1406350.8682897734;12382.805046474221;4311.76579643135;17657.13171022752;2020-04-06
18;1505.6100129819981;1396549.8342013885;19227.32763370957;6725.228151920579;27458.165798612146;2020-04-07
19;2351.328167099466;1381507.8171684744;29691.27201310462;10457.582651322205;42500.18283152629;2020-04-08
20;3663.321467323246;1358692.641028077;45466.57004916417;16185.467455436206;65315.35897192362;2020-04-09
21;5686.73148211497;1324696.873148538;68750.15490887198;24874.24046047577;99311.1268514627;2020-04-10
22;8779.983576647472;1275354.1076352964;102045.42068345162;37828.488104605116;148653.89236470422;2020-04-11
23;13448.314805735417;1206382.3286238853;147513.22928518962;56664.12728519022;217625.67137611526;2020-04-12
24;20366.800800940804;1114834.490599087;205697.5883324408;83109.12026753186;309173.50940091343;2020-04-13
25;30371.095268112975;1001210.1416241325;273877.7717309468;118548.99137680812;422797.8583758678;2020-04-14
26;44390.80836062215;871141.1256588614;345116.60191640607;163359.4640641108;552866.874341139;2020-04-15
27;63316.311600291774;734936.9595940015;409445.12529000774;216309.60351569924;689071.0404059987;2020-04-16
28;87827.38406970617;604409.1287004367;457311.21586334356;274460.2713665138;819598.8712995636;2020-04-17
29;118246.51349975214;488844.3869431125;483165.39555494365;333751.70400219166;935163.6130568874;2020-04-18
30;154475.23578227448;392801.4038650048;486736.01403420954;389995.34631851106;1031206.5961349951;2020-04-19
31;196027.9089438595;316498.8558525534;471731.1040378018;439750.13116578513;1107509.1441474464;2020-04-20
32;242132.47222634012;257558.8689223339;443554.4439046516;480762.2149466743;1166449.131077666;2020-04-21
33;291852.7570504874;212681.2281223511;407494.97399258433;511979.0408345773;1211326.771877649;2020-04-22
34;344198.30408830877;178661.81014494653;367829.16383633943;533318.7219304054;1245346.1898550536;2020-04-23
35;398206.39666426886;152816.51541291768;327616.92416485806;545368.1637579557;1271191.4845870826;2020-04-24
36;452994.8055953573;133058.33917479438;288845.2394898015;549109.615740047;1290949.660825206;2020-04-25
37;507790.3011602156;117825.94206380702;252680.02347999343;545711.7332959842;1306182.0579361932;2020-04-26
38;561939.6254651574;105972.44215540715;219709.59689421896;536386.3354852166;1318035.557844593;2020-04-27
39;614908.936056398;96660.61924265377;190139.82925775478;522298.61544319347;1327347.3807573463;2020-04-28
40;666276.3324106829;89278.5999559333;163936.78842919832;504516.27920418547;1334729.4000440668;2020-04-29
41;715720.7095191348;83376.67880041146;140925.49326355374;483985.1184169;1340631.3211995885;2020-04-30
42;763009.0846986546;78621.59309885872;120855.74487020637;461521.57733228034;1345386.4069011412;2020-05-01
43;807983.7435443914;74763.95916702012;103444.63885268054;437815.65843590786;1349244.0408329796;2020-05-02
44;850549.9989025526;71615.21110761957;88403.11295745107;413439.67703237664;1352392.7888923804;2020-05-03
45;890664.990580454;69031.25814676631;75451.8161750934;388859.93509768613;1354976.7418532334;2020-05-04
